timestamp_local,timestamp_epoch_s,x_mg,y_mg,z_mg
2026-09-13 19:03:50.063,1789337030.0636866,-953,51,105
2026-09-13 19:03:50.083,1789337030.0836866,-966,48,114
2026-09-13 19:03:50.103,1789337030.1036866,-973,53,124
2026-09-13 19:03:50.123,1789337030.1236866,-979,53,118
2026-09-13 19:03:50.143,1789337030.1436865,-971,52,114
2026-09-13 19:03:50.163,1789337030.1636865,-969,53,113
2026-09-13 19:03:50.183,1789337030.1836865,-971,52,120
2026-09-13 19:03:50.203,1789337030.2036867,-970,54,114
2026-09-13 19:03:50.223,1789337030.2236867,-968,54,117
2026-09-13 19:03:50.243,1789337030.2436867,-973,56,115
2026-09-13 19:03:50.263,1789337030.2636867,-967,55,109
2026-09-13 19:03:50.283,1789337030.2836866,-964,52,113
2026-09-13 19:03:50.303,1789337030.3036866,-970,53,119
2026-09-13 19:03:50.323,1789337030.3236866,-970,59,114
2026-09-13 19:03:50.343,1789337030.3436866,-971,60,125
2026-09-13 19:03:50.363,1789337030.3636866,-972,57,115
2026-09-13 19:03:50.383,1789337030.3836865,-966,53,117
2026-09-13 19:03:50.403,1789337030.4036865,-972,53,111
2026-09-13 19:03:50.423,1789337030.4236865,-968,57,115
2026-09-13 19:03:50.443,1789337030.4436867,-969,59,117
2026-09-13 19:03:50.463,1789337030.4636867,-970,57,121
2026-09-13 19:03:50.483,1789337030.4836867,-971,56,121
2026-09-13 19:03:50.503,1789337030.5036867,-970,55,118
2026-09-13 19:03:50.523,1789337030.5236866,-968,57,120
2026-09-13 19:03:50.543,1789337030.5436866,-969,57,120
2026-09-13 19:03:50.563,1789337030.5636866,-969,54,124
2026-09-13 19:03:50.583,1789337030.5836866,-967,54,120
2026-09-13 19:03:50.603,1789337030.6036866,-969,54,122
2026-09-13 19:03:50.623,1789337030.6236866,-968,55,121
2026-09-13 19:03:50.643,1789337030.6436865,-970,55,123
2026-09-13 19:03:50.663,1789337030.6636865,-970,51,121
2026-09-13 19:03:50.683,1789337030.6836865,-968,50,120
2026-09-13 19:03:50.703,1789337030.7036867,-966,50,131
2026-09-13 19:03:50.723,1789337030.7236867,-976,55,123
2026-09-13 19:03:50.743,1789337030.7436867,-966,54,109
2026-09-13 19:03:50.763,1789337030.7636867,-972,52,124
2026-09-13 19:03:50.770,1789337030.7706056,-970,53,136
2026-09-13 19:03:50.790,1789337030.7906055,-977,58,126
2026-09-13 19:03:50.810,1789337030.8106055,-963,63,122
2026-09-13 19:03:50.830,1789337030.8306055,-962,58,129
2026-09-13 19:03:50.850,1789337030.8506055,-960,55,140
2026-09-13 19:03:50.870,1789337030.8706055,-972,54,148
2026-09-13 19:03:50.890,1789337030.8906054,-983,49,143
2026-09-13 19:03:50.910,1789337030.9106057,-976,45,132
2026-09-13 19:03:50.930,1789337030.9306056,-969,47,119
2026-09-13 19:03:50.950,1789337030.9506056,-971,48,117
2026-09-13 19:03:50.970,1789337030.9706056,-972,52,126
2026-09-13 19:03:50.990,1789337030.9906056,-974,51,126
2026-09-13 19:03:51.010,1789337031.0106056,-977,56,122
2026-09-13 19:03:51.030,1789337031.0306056,-975,54,124
2026-09-13 19:03:51.050,1789337031.0506055,-976,51,117
2026-09-13 19:03:51.070,1789337031.0706055,-970,54,98
2026-09-13 19:03:51.090,1789337031.0906055,-962,55,101
2026-09-13 19:03:51.110,1789337031.1106055,-969,54,96
2026-09-13 19:03:51.130,1789337031.1306055,-967,54,93
2026-09-13 19:03:51.150,1789337031.1506057,-968,55,94
2026-09-13 19:03:51.170,1789337031.1706057,-974,51,94
2026-09-13 19:03:51.190,1789337031.1906056,-976,52,88
2026-09-13 19:03:51.210,1789337031.2106056,-972,51,82
2026-09-13 19:03:51.230,1789337031.2306056,-971,50,83
2026-09-13 19:03:51.250,1789337031.2506056,-969,51,87
2026-09-13 19:03:51.270,1789337031.2706056,-972,53,86
2026-09-13 19:03:51.290,1789337031.2906055,-972,51,88
2026-09-13 19:03:51.310,1789337031.3106055,-973,51,82
2026-09-13 19:03:51.330,1789337031.3306055,-973,51,79
2026-09-13 19:03:51.350,1789337031.3506055,-972,49,78
2026-09-13 19:03:51.370,1789337031.3706055,-970,51,79
2026-09-13 19:03:51.390,1789337031.3906054,-973,49,78
2026-09-13 19:03:51.410,1789337031.4106057,-972,46,76
2026-09-13 19:03:51.430,1789337031.4306056,-968,50,81
2026-09-13 19:03:51.450,1789337031.4506056,-978,52,77
2026-09-13 19:03:51.470,1789337031.4706056,-977,48,63
2026-09-13 19:03:51.477,1789337031.4776466,-971,42,68
2026-09-13 19:03:51.497,1789337031.4976466,-954,47,97
2026-09-13 19:03:51.517,1789337031.5176466,-982,50,82
2026-09-13 19:03:51.537,1789337031.5376465,-981,47,50
2026-09-13 19:03:51.557,1789337031.5576465,-966,42,70
2026-09-13 19:03:51.577,1789337031.5776465,-978,47,83
2026-09-13 19:03:51.597,1789337031.5976465,-977,50,72
2026-09-13 19:03:51.617,1789337031.6176467,-969,53,71
2026-09-13 19:03:51.637,1789337031.6376467,-969,50,63
2026-09-13 19:03:51.657,1789337031.6576467,-965,51,61
2026-09-13 19:03:51.677,1789337031.6776466,-969,49,68
2026-09-13 19:03:51.697,1789337031.6976466,-983,49,73
2026-09-13 19:03:51.717,1789337031.7176466,-977,49,76
2026-09-13 19:03:51.737,1789337031.7376466,-974,52,80
2026-09-13 19:03:51.757,1789337031.7576466,-975,52,61
2026-09-13 19:03:51.777,1789337031.7776465,-969,48,59
2026-09-13 19:03:51.797,1789337031.7976465,-968,49,69
2026-09-13 19:03:51.817,1789337031.8176465,-972,53,69
2026-09-13 19:03:51.837,1789337031.8376465,-972,56,71
2026-09-13 19:03:51.857,1789337031.8576467,-972,55,69
2026-09-13 19:03:51.877,1789337031.8776467,-973,55,70
2026-09-13 19:03:51.897,1789337031.8976467,-973,52,67
2026-09-13 19:03:51.917,1789337031.9176466,-974,52,66
2026-09-13 19:03:51.937,1789337031.9376466,-973,53,63
2026-09-13 19:03:51.957,1789337031.9576466,-973,55,67
2026-09-13 19:03:51.977,1789337031.9776466,-976,53,73
2026-09-13 19:03:51.997,1789337031.9976466,-977,51,72
2026-09-13 19:03:52.017,1789337032.0176466,-975,51,70
2026-09-13 19:03:52.037,1789337032.0376465,-974,54,62
2026-09-13 19:03:52.057,1789337032.0576465,-969,53,66
2026-09-13 19:03:52.077,1789337032.0776465,-974,53,65
2026-09-13 19:03:52.097,1789337032.0976465,-974,52,76
2026-09-13 19:03:52.117,1789337032.1176467,-980,54,58
2026-09-13 19:03:52.137,1789337032.1376467,-976,53,44
2026-09-13 19:03:52.157,1789337032.1576467,-966,49,66
2026-09-13 19:03:52.177,1789337032.1776466,-965,50,86
2026-09-13 19:03:52.184,1789337032.1846266,-980,52,60
2026-09-13 19:03:52.204,1789337032.2046266,-974,51,34
2026-09-13 19:03:52.224,1789337032.2246265,-972,48,74
2026-09-13 19:03:52.244,1789337032.2446265,-994,54,68
2026-09-13 19:03:52.264,1789337032.2646265,-974,54,63
2026-09-13 19:03:52.284,1789337032.2846265,-970,52,61
2026-09-13 19:03:52.304,1789337032.3046265,-970,52,57
2026-09-13 19:03:52.324,1789337032.3246267,-975,54,63
2026-09-13 19:03:52.344,1789337032.3446267,-977,50,61
2026-09-13 19:03:52.364,1789337032.3646266,-975,48,62
2026-09-13 19:03:52.384,1789337032.3846266,-975,52,68
2026-09-13 19:03:52.404,1789337032.4046266,-974,53,72
2026-09-13 19:03:52.424,1789337032.4246266,-975,50,49
2026-09-13 19:03:52.444,1789337032.4446266,-967,50,46
2026-09-13 19:03:52.464,1789337032.4646266,-971,50,62
2026-09-13 19:03:52.484,1789337032.4846265,-979,54,66
2026-09-13 19:03:52.504,1789337032.5046265,-977,56,66
2026-09-13 19:03:52.524,1789337032.5246265,-980,57,62
2026-09-13 19:03:52.544,1789337032.5446265,-971,56,62
2026-09-13 19:03:52.564,1789337032.5646267,-968,55,64
2026-09-13 19:03:52.584,1789337032.5846267,-973,55,57
2026-09-13 19:03:52.604,1789337032.6046267,-975,55,61
2026-09-13 19:03:52.624,1789337032.6246266,-971,54,64
2026-09-13 19:03:52.644,1789337032.6446266,-971,55,66
2026-09-13 19:03:52.664,1789337032.6646266,-976,56,63
2026-09-13 19:03:52.684,1789337032.6846266,-974,56,62
2026-09-13 19:03:52.704,1789337032.7046266,-973,55,60
2026-09-13 19:03:52.724,1789337032.7246265,-969,54,63
2026-09-13 19:03:52.744,1789337032.7446265,-974,56,61
2026-09-13 19:03:52.764,1789337032.7646265,-983,58,45
2026-09-13 19:03:52.784,1789337032.7846265,-976,55,55
2026-09-13 19:03:52.804,1789337032.8046265,-968,51,90
2026-09-13 19:03:52.824,1789337032.8246267,-979,53,82
2026-09-13 19:03:52.844,1789337032.8446267,-977,59,33
2026-09-13 19:03:52.864,1789337032.8646266,-962,55,67
