timestamp_local,timestamp_epoch_s,hr_bpm,rr_ms
2026-09-13 19:07:11.957,1789337231.9572117,97,617
2026-09-13 19:07:12.397,1789337232.3971386,97,620
2026-09-13 19:07:13.037,1789337233.0371387,94,640
2026-09-13 19:07:13.981,1789337233.9815915,90,665
2026-09-13 19:07:14.288,1789337234.2887814,87,692
2026-09-13 19:07:14.971,1789337234.9717815,88,683
2026-09-13 19:07:15.961,1789337235.9615345,93,645
2026-09-13 19:07:16.361,1789337236.361774,94,635
2026-09-13 19:07:16.996,1789337236.9967742,94,635
2026-09-13 19:07:17.371,1789337237.3710356,93,643
2026-09-13 19:07:17.987,1789337237.9870358,97,616
2026-09-13 19:07:19.067,1789337239.0671215,99,604
2026-09-13 19:07:19.368,1789337239.368215,100,599
2026-09-13 19:07:19.967,1789337239.967215,100,599
2026-09-13 19:07:20.364,1789337240.364229,100,602
2026-09-13 19:07:20.957,1789337240.957229,101,593
2026-09-13 19:07:21.414,1789337241.4148638,103,583
2026-09-13 19:07:21.992,1789337241.992864,104,578
2026-09-13 19:07:22.981,1789337242.981417,103,581
2026-09-13 19:07:23.385,1789337243.3852408,101,593
2026-09-13 19:07:23.972,1789337243.972241,102,587
2026-09-13 19:07:24.385,1789337244.3856664,103,580
2026-09-13 19:07:24.961,1789337244.9616663,104,576
2026-09-13 19:07:25.997,1789337245.9973814,101,592
2026-09-13 19:07:26.378,1789337246.3786376,97,616
2026-09-13 19:07:26.987,1789337246.9876375,99,609
2026-09-13 19:07:27.388,1789337247.3881717,101,593
2026-09-13 19:07:27.977,1789337247.977172,102,589
2026-09-13 19:07:28.967,1789337248.9675918,101,596
2026-09-13 19:07:29.350,1789337249.3506725,98,612
2026-09-13 19:07:29.956,1789337249.9566722,99,606
2026-09-13 19:07:30.405,1789337250.4050493,102,591
2026-09-13 19:07:30.992,1789337250.9920495,102,587
2026-09-13 19:07:31.981,1789337251.9819517,100,602
2026-09-13 19:07:32.363,1789337252.363736,98,610
2026-09-13 19:07:32.972,1789337252.9727356,99,609
2026-09-13 19:07:33.421,1789337253.421541,101,592
2026-09-13 19:07:34.007,1789337254.0075407,102,586
2026-09-13 19:07:34.996,1789337254.996989,101,595
2026-09-13 19:07:35.439,1789337255.4391716,101,597
2026-09-13 19:07:36.032,1789337256.0321715,101,593
2026-09-13 19:07:36.403,1789337256.403572,103,581
2026-09-13 19:07:36.977,1789337256.9775722,105,574
2026-09-13 19:07:37.379,1789337257.379197,103,580
2026-09-13 19:07:37.967,1789337257.967197,102,588
2026-09-13 19:07:38.957,1789337258.957162,102,587
2026-09-13 19:07:39.424,1789337259.4243019,105,574
2026-09-13 19:07:39.992,1789337259.992302,106,568
2026-09-13 19:07:40.414,1789337260.4145205,106,565
2026-09-13 19:07:40.982,1789337260.9825206,106,568
2026-09-13 19:07:41.415,1789337261.4154582,106,565
2026-09-13 19:07:41.972,1789337261.9724586,108,557
2026-09-13 19:07:42.961,1789337262.961625,109,552
2026-09-13 19:07:43.447,1789337263.4470215,110,545
2026-09-13 19:07:43.997,1789337263.9970217,109,550
2026-09-13 19:07:44.430,1789337264.4305081,108,558
2026-09-13 19:07:44.986,1789337264.9865081,108,556
2026-09-13 19:07:45.433,1789337265.4339468,110,547
2026-09-13 19:07:45.976,1789337265.9769468,110,543
2026-09-13 19:07:46.409,1789337266.4096143,110,546
2026-09-13 19:07:46.969,1789337266.9696143,107,560
2026-09-13 19:07:47.956,1789337267.956473,105,569
2026-09-13 19:07:48.436,1789337268.436159,107,559
2026-09-13 19:07:48.992,1789337268.992159,108,556
2026-09-13 19:07:49.387,1789337269.3878543,105,572
2026-09-13 19:07:49.981,1789337269.9818544,101,594
2026-09-13 19:07:50.378,1789337270.378563,100,603
2026-09-13 19:07:50.972,1789337270.9725628,101,594
2026-09-13 19:07:51.961,1789337271.9617257,104,577
2026-09-13 19:07:52.460,1789337272.460674,103,580
2026-09-13 19:07:53.042,1789337273.042674,103,582
2026-09-13 19:07:53.461,1789337273.4619966,104,578
2026-09-13 19:07:54.031,1789337274.0319967,105,570
2026-09-13 19:07:54.471,1789337274.4718812,107,560
2026-09-13 19:07:55.021,1789337275.021881,109,550
2026-09-13 19:07:55.421,1789337275.4210274,110,547
2026-09-13 19:07:55.967,1789337275.9670272,110,546
2026-09-13 19:07:56.956,1789337276.9569955,111,541
2026-09-13 19:07:57.464,1789337277.4640365,113,533
2026-09-13 19:07:57.992,1789337277.9920363,114,528
2026-09-13 19:07:58.447,1789337278.4478793,114,527
2026-09-13 19:07:58.981,1789337278.9818792,112,534
2026-09-13 19:07:59.427,1789337279.427045,111,539
2026-09-13 19:07:59.972,1789337279.972045,110,545
