timestamp_local,timestamp_epoch_s,hr_bpm,rr_ms
2026-09-13 19:54:04.958,1789340044.9580739,85,709
2026-09-13 19:54:06.189,1789340046.189505,78,771
2026-09-13 19:54:06.939,1789340046.9393978,66,910
2026-09-13 19:54:07.928,1789340047.928014,60,999
2026-09-13 19:54:08.918,1789340048.9182038,58,1029
2026-09-13 19:54:09.953,1789340049.9530802,59,1020
2026-09-13 19:54:10.942,1789340050.9429803,73,825
2026-09-13 19:54:11.163,1789340051.1634183,71,842
2026-09-13 19:54:11.933,1789340051.9334183,78,770
2026-09-13 19:54:12.973,1789340052.9730678,83,727
2026-09-13 19:54:14.002,1789340054.0029185,74,808
2026-09-13 19:54:14.949,1789340054.9492383,58,1037
2026-09-13 19:54:15.937,1789340055.9378753,72,835
2026-09-13 19:54:16.928,1789340056.9283178,70,855
2026-09-13 19:54:17.918,1789340057.9184923,62,962
2026-09-13 19:54:18.952,1789340058.952624,71,850
2026-09-13 19:54:19.081,1789340059.0819669,78,773
2026-09-13 19:54:19.942,1789340059.9429667,70,861
2026-09-13 19:54:20.935,1789340060.9356694,57,1057
2026-09-13 19:54:21.922,1789340061.9228334,72,834
2026-09-13 19:54:22.957,1789340062.9577427,67,901
2026-09-13 19:54:23.948,1789340063.948729,56,1071
2026-09-13 19:54:24.937,1789340064.9379902,67,896
2026-09-13 19:54:25.927,1789340065.9278965,63,950
2026-09-13 19:54:26.918,1789340066.918268,57,1053
2026-09-13 19:54:27.998,1789340067.9985225,72,833
2026-09-13 19:54:28.088,1789340068.0889456,75,803
2026-09-13 19:54:28.987,1789340068.9879456,67,899
2026-09-13 19:54:29.977,1789340069.977747,71,844
2026-09-13 19:54:30.923,1789340070.9230924,79,758
2026-09-13 19:54:31.958,1789340071.9580045,72,835
2026-09-13 19:54:32.948,1789340072.9484074,61,982
2026-09-13 19:54:33.937,1789340073.937834,74,808
2026-09-13 19:54:34.098,1789340074.098006,77,778
2026-09-13 19:54:34.928,1789340074.928006,72,830
2026-09-13 19:54:35.918,1789340075.9187107,70,861
2026-09-13 19:54:36.952,1789340076.952746,80,752
2026-09-13 19:54:37.141,1789340077.1418934,78,774
2026-09-13 19:54:37.944,1789340077.9448934,75,803
2026-09-13 19:54:38.936,1789340078.9367657,76,789
2026-09-13 19:54:39.923,1789340079.9239593,82,728
2026-09-13 19:54:40.175,1789340080.175789,80,754
2026-09-13 19:54:40.957,1789340080.9577892,77,782
2026-09-13 19:54:41.948,1789340081.94864,77,777
2026-09-13 19:54:43.027,1789340083.027979,83,727
2026-09-13 19:54:44.018,1789340084.0183094,79,764
2026-09-13 19:54:44.129,1789340084.129334,74,810
2026-09-13 19:54:44.918,1789340084.918334,76,789
2026-09-13 19:54:45.954,1789340085.9543488,82,730
2026-09-13 19:54:46.943,1789340086.9433763,78,767
2026-09-13 19:54:47.183,1789340087.183519,76,787
2026-09-13 19:54:47.935,1789340087.935519,80,752
2026-09-13 19:54:48.923,1789340088.9230733,83,727
2026-09-13 19:54:49.916,1789340089.916137,79,755
2026-09-13 19:54:50.212,1789340090.2125323,77,776
2026-09-13 19:54:50.948,1789340090.9485323,82,736
2026-09-13 19:54:51.937,1789340091.937979,85,705
2026-09-13 19:54:52.159,1789340092.15992,81,738
2026-09-13 19:54:52.927,1789340092.9279199,78,768
2026-09-13 19:54:53.918,1789340093.9188569,81,745
2026-09-13 19:54:54.952,1789340094.9527915,85,704
2026-09-13 19:54:55.193,1789340095.193368,83,726
2026-09-13 19:54:55.943,1789340095.943368,80,750
2026-09-13 19:54:56.933,1789340096.933185,80,749
2026-09-13 19:54:57.923,1789340097.9232328,85,702
2026-09-13 19:54:58.196,1789340098.1962554,81,739
2026-09-13 19:54:58.958,1789340098.9582555,79,762
2026-09-13 19:54:59.993,1789340099.9931736,80,750
2026-09-13 19:55:00.937,1789340100.9377549,86,698
2026-09-13 19:55:01.183,1789340101.1836703,83,719
2026-09-13 19:55:01.930,1789340101.9306703,80,747
2026-09-13 19:55:02.918,1789340102.9184213,79,756
2026-09-13 19:55:03.952,1789340103.952709,85,708
2026-09-13 19:55:04.195,1789340104.1957624,83,725
2026-09-13 19:55:04.942,1789340104.9427626,80,747
2026-09-13 19:55:05.933,1789340105.9339466,77,778
2026-09-13 19:55:06.922,1789340106.922789,84,712
2026-09-13 19:55:07.196,1789340107.1969981,81,740
2026-09-13 19:55:07.957,1789340107.957998,79,761
2026-09-13 19:55:08.948,1789340108.9482362,79,758
2026-09-13 19:55:09.937,1789340109.9379606,84,712
2026-09-13 19:55:10.169,1789340110.1693943,83,726
2026-09-13 19:55:10.928,1789340110.9283943,79,759
2026-09-13 19:55:11.917,1789340111.9178708,74,816
2026-09-13 19:55:12.953,1789340112.9530356,81,742
2026-09-13 19:55:13.197,1789340113.197164,80,747
2026-09-13 19:55:13.988,1789340113.9881642,76,791
2026-09-13 19:55:14.933,1789340114.9330745,73,824
2026-09-13 19:55:15.922,1789340115.922783,80,751
2026-09-13 19:55:16.170,1789340116.1700704,79,755
2026-09-13 19:55:16.958,1789340116.9580705,76,788
2026-09-13 19:55:17.993,1789340117.9932418,73,822
2026-09-13 19:55:19.027,1789340119.027933,80,752
2026-09-13 19:55:19.973,1789340119.9730883,76,789
2026-09-13 19:55:20.918,1789340120.9184678,70,862
2026-09-13 19:55:21.192,1789340121.1926823,74,816
2026-09-13 19:55:21.952,1789340121.9526823,79,760
2026-09-13 19:55:22.943,1789340122.9430926,75,805
2026-09-13 19:55:23.934,1789340123.9343095,71,841
2026-09-13 19:55:24.922,1789340124.9229805,77,780
2026-09-13 19:55:25.136,1789340125.1362877,76,790
2026-09-13 19:55:25.958,1789340125.958288,73,822
2026-09-13 19:55:26.948,1789340126.9482076,72,837
2026-09-13 19:55:27.938,1789340127.9385526,78,770
2026-09-13 19:55:28.928,1789340128.928069,76,789
2026-09-13 19:55:29.105,1789340129.1050525,73,826
2026-09-13 19:55:29.919,1789340129.9190524,74,814
2026-09-13 19:55:30.955,1789340130.955541,80,749
2026-09-13 19:55:31.942,1789340131.9426785,76,786
2026-09-13 19:55:32.152,1789340132.1524704,72,830
2026-09-13 19:55:32.933,1789340132.9334702,77,781
2026-09-13 19:55:33.923,1789340133.9231439,80,752
2026-09-13 19:55:34.957,1789340134.9579942,77,784
