timestamp_local,timestamp_epoch_s,hr_bpm,rr_ms
2026-09-11 19:37:22.538,1789166242.5387268,73,822
2026-09-11 19:37:23.390,1789166243.3907268,70,852
2026-09-11 19:37:24.470,1789166244.4704838,76,786
2026-09-11 19:37:25.370,1789166245.370784,85,710
2026-09-11 19:37:25.778,1789166245.778872,87,689
2026-09-11 19:37:26.450,1789166246.4508722,89,672
2026-09-11 19:37:26.743,1789166246.7434835,87,687
2026-09-11 19:37:27.395,1789166247.3954837,92,652
2026-09-11 19:37:28.386,1789166248.386059,93,643
2026-09-11 19:37:28.662,1789166248.6629763,89,675
2026-09-11 19:37:29.376,1789166249.3769765,84,714
2026-09-11 19:37:30.411,1789166250.411446,91,656
2026-09-11 19:37:31.401,1789166251.401421,91,657
2026-09-11 19:37:31.661,1789166251.6617959,86,698
2026-09-11 19:37:32.390,1789166252.3907957,82,729
2026-09-11 19:37:33.381,1789166253.381891,88,680
2026-09-11 19:37:33.722,1789166253.7222915,94,636
2026-09-11 19:37:34.371,1789166254.3712914,92,649
2026-09-11 19:37:34.756,1789166254.7561822,92,649
2026-09-11 19:37:35.406,1789166255.406182,92,650
2026-09-11 19:37:36.395,1789166256.395951,97,620
2026-09-11 19:37:36.775,1789166256.7751017,98,615
2026-09-11 19:37:37.386,1789166257.3861015,98,611
2026-09-11 19:37:37.824,1789166257.824164,98,611
2026-09-11 19:37:38.421,1789166258.4211638,101,597
2026-09-11 19:37:39.366,1789166259.3668556,102,589
2026-09-11 19:37:39.809,1789166259.8090332,101,592
2026-09-11 19:37:40.401,1789166260.4010332,101,592
2026-09-11 19:37:40.769,1789166260.7699835,99,605
2026-09-11 19:37:41.390,1789166261.3909836,97,621
2026-09-11 19:37:42.381,1789166262.381831,101,594
2026-09-11 19:37:42.769,1789166262.7691462,101,597
2026-09-11 19:37:43.371,1789166263.371146,100,602
2026-09-11 19:37:44.405,1789166264.4055147,96,622
2026-09-11 19:37:44.783,1789166264.7832694,93,648
2026-09-11 19:37:45.397,1789166265.3972695,98,614
2026-09-11 19:37:45.772,1789166265.772228,98,613
2026-09-11 19:37:46.386,1789166266.3862283,98,614
2026-09-11 19:37:47.376,1789166267.3765087,96,624
2026-09-11 19:37:47.772,1789166267.772265,98,614
2026-09-11 19:37:48.367,1789166268.367265,101,595
2026-09-11 19:37:48.807,1789166268.8076897,101,595
2026-09-11 19:37:49.400,1789166269.4006896,101,593
