timestamp_local,timestamp_epoch_s,x_mg,y_mg,z_mg
2026-09-13 19:33:05.067,1789338785.067797,92,58,997
2026-09-13 19:33:05.087,1789338785.087797,94,60,980
2026-09-13 19:33:05.107,1789338785.107797,95,59,957
2026-09-13 19:33:05.127,1789338785.127797,93,59,980
2026-09-13 19:33:05.147,1789338785.1477969,88,63,990
2026-09-13 19:33:05.167,1789338785.1677969,88,63,991
2026-09-13 19:33:05.187,1789338785.1877968,91,59,987
2026-09-13 19:33:05.207,1789338785.207797,92,62,982
2026-09-13 19:33:05.227,1789338785.227797,94,63,984
2026-09-13 19:33:05.247,1789338785.247797,95,61,986
2026-09-13 19:33:05.267,1789338785.267797,94,59,985
2026-09-13 19:33:05.287,1789338785.287797,95,58,986
2026-09-13 19:33:05.307,1789338785.307797,95,59,985
2026-09-13 19:33:05.327,1789338785.327797,95,59,986
2026-09-13 19:33:05.347,1789338785.347797,93,60,987
2026-09-13 19:33:05.367,1789338785.367797,92,58,981
2026-09-13 19:33:05.387,1789338785.3877969,92,60,988
2026-09-13 19:33:05.407,1789338785.4077969,93,56,978
2026-09-13 19:33:05.427,1789338785.4277968,95,55,986
2026-09-13 19:33:05.447,1789338785.447797,95,59,979
2026-09-13 19:33:05.467,1789338785.467797,97,60,981
2026-09-13 19:33:05.487,1789338785.487797,95,59,985
2026-09-13 19:33:05.507,1789338785.507797,95,59,987
2026-09-13 19:33:05.527,1789338785.527797,94,58,984
2026-09-13 19:33:05.547,1789338785.547797,95,58,984
2026-09-13 19:33:05.567,1789338785.567797,95,60,978
2026-09-13 19:33:05.587,1789338785.587797,96,60,983
2026-09-13 19:33:05.607,1789338785.607797,94,60,986
2026-09-13 19:33:05.627,1789338785.627797,94,59,982
2026-09-13 19:33:05.647,1789338785.6477969,96,56,981
2026-09-13 19:33:05.667,1789338785.6677969,97,57,984
2026-09-13 19:33:05.687,1789338785.6877968,96,59,982
2026-09-13 19:33:05.707,1789338785.707797,97,63,983
2026-09-13 19:33:05.727,1789338785.727797,97,63,982
2026-09-13 19:33:05.747,1789338785.747797,96,60,981
2026-09-13 19:33:05.767,1789338785.767797,97,59,982
2026-09-13 19:33:05.775,1789338785.7750819,99,58,981
2026-09-13 19:33:05.795,1789338785.7950819,100,59,981
2026-09-13 19:33:05.815,1789338785.8150818,99,60,981
2026-09-13 19:33:05.835,1789338785.8350818,100,62,982
2026-09-13 19:33:05.855,1789338785.8550818,99,60,982
2026-09-13 19:33:05.875,1789338785.8750818,99,61,982
2026-09-13 19:33:05.895,1789338785.8950818,100,59,983
2026-09-13 19:33:05.915,1789338785.915082,100,60,983
2026-09-13 19:33:05.935,1789338785.935082,101,59,980
