timestamp_local,timestamp_epoch_s,hr_bpm,rr_ms
2026-09-13 19:41:12.936,1789339272.9363594,59,1016
2026-09-13 19:41:12.957,1789339272.9570656,66,914
2026-09-13 19:41:13.926,1789339273.9260654,62,969
2026-09-13 19:41:15.005,1789339275.005994,64,944
2026-09-13 19:41:15.951,1789339275.9512198,66,906
2026-09-13 19:41:16.227,1789339276.227201,73,823
2026-09-13 19:41:16.986,1789339276.986201,79,759
2026-09-13 19:41:17.931,1789339277.9312828,85,702
2026-09-13 19:41:18.966,1789339278.9663808,82,735
2026-09-13 19:41:19.955,1789339279.9559395,71,849
2026-09-13 19:41:20.946,1789339280.9461727,76,791
2026-09-13 19:41:21.936,1789339281.9360542,71,847
2026-09-13 19:41:22.926,1789339282.9260066,52,1159
2026-09-13 19:41:23.961,1789339283.9611323,61,978
2026-09-13 19:41:24.951,1789339284.9513972,66,907
2026-09-13 19:41:25.941,1789339285.9416165,57,1057
2026-09-13 19:41:26.930,1789339286.930941,68,879
2026-09-13 19:41:28.056,1789339288.0560045,70,852
2026-09-13 19:41:28.035,1789339288.0351884,65,923
2026-09-13 19:41:28.956,1789339288.9561887,65,921
2026-09-13 19:41:29.945,1789339289.9457965,73,822
2026-09-13 19:41:30.936,1789339290.9363446,66,913
2026-09-13 19:41:31.926,1789339291.926038,57,1044
2026-09-13 19:41:32.961,1789339292.9611607,71,848
2026-09-13 19:41:33.951,1789339293.9512694,71,841
2026-09-13 19:41:34.941,1789339294.9413178,64,932
2026-09-13 19:41:35.931,1789339295.9310777,67,896
2026-09-13 19:41:36.966,1789339296.966604,70,862
2026-09-13 19:41:37.956,1789339297.9561946,55,1084
2026-09-13 19:41:38.946,1789339298.9460042,61,980
2026-09-13 19:41:39.034,1789339299.0344255,70,860
2026-09-13 19:41:39.936,1789339299.9364254,67,902
2026-09-13 19:41:40.926,1789339300.926133,67,900
2026-09-13 19:41:41.961,1789339301.961267,74,813
2026-09-13 19:41:42.951,1789339302.9514608,68,886
2026-09-13 19:41:43.941,1789339303.941333,61,979
2026-09-13 19:41:44.931,1789339304.9316487,71,843
2026-09-13 19:41:45.081,1789339305.0813842,71,847
2026-09-13 19:41:45.966,1789339305.9663842,68,885
2026-09-13 19:41:46.956,1789339306.9560971,72,831
2026-09-13 19:41:47.946,1789339307.9467084,78,769
2026-09-13 19:41:48.936,1789339308.9362178,75,804
2026-09-13 19:41:49.163,1789339309.1633325,69,866
2026-09-13 19:41:49.971,1789339309.9713323,74,808
2026-09-13 19:41:50.961,1789339310.961244,78,768
2026-09-13 19:41:51.951,1789339311.9511268,72,828
2026-09-13 19:41:52.941,1789339312.9413683,70,857
2026-09-13 19:41:53.931,1789339313.9312425,76,789
2026-09-13 19:41:54.070,1789339314.0705,72,830
2026-09-13 19:41:54.966,1789339314.9664998,67,896
2026-09-13 19:41:55.959,1789339315.9592726,71,847
2026-09-13 19:41:56.946,1789339316.9460974,76,794
2026-09-13 19:41:57.936,1789339317.9362142,73,827
2026-09-13 19:41:58.150,1789339318.1500032,71,847
2026-09-13 19:41:58.926,1789339318.9260032,77,776
2026-09-13 19:41:59.960,1789339319.9609935,79,760
2026-09-13 19:42:00.951,1789339320.9512596,75,801
2026-09-13 19:42:01.940,1789339321.9409964,74,812
2026-09-13 19:42:02.933,1789339322.9336624,80,753
2026-09-13 19:42:03.174,1789339323.1741722,77,784
2026-09-13 19:42:04.011,1789339324.011172,72,837
2026-09-13 19:42:05.001,1789339325.0010445,71,848
2026-09-13 19:42:05.946,1789339325.9464858,77,784
2026-09-13 19:42:06.936,1789339326.9365058,75,804
2026-09-13 19:42:07.122,1789339327.1229897,70,859
2026-09-13 19:42:07.925,1789339327.9259896,75,803
2026-09-13 19:42:08.961,1789339328.9611912,80,751
2026-09-13 19:42:09.950,1789339329.9509509,77,780
2026-09-13 19:42:10.941,1789339330.941468,72,833
2026-09-13 19:42:11.931,1789339331.9310896,74,812
2026-09-13 19:42:12.100,1789339332.1005692,75,801
2026-09-13 19:42:12.966,1789339332.9665692,69,866
2026-09-13 19:42:13.956,1789339333.9563274,66,907
2026-09-13 19:42:14.946,1789339334.946372,75,802
2026-09-13 19:42:15.936,1789339335.9364586,74,809
2026-09-13 19:42:16.118,1789339336.1188695,71,840
2026-09-13 19:42:16.925,1789339336.9258695,74,807
2026-09-13 19:42:17.961,1789339337.9610088,78,769
2026-09-13 19:42:18.951,1789339338.9513605,72,830
2026-09-13 19:42:19.941,1789339339.9413233,68,880
2026-09-13 19:42:20.930,1789339340.9309266,74,812
2026-09-13 19:42:21.083,1789339341.083255,74,816
2026-09-13 19:42:21.966,1789339341.9662552,68,883
2026-09-13 19:42:22.956,1789339342.956241,68,881
2026-09-13 19:42:23.946,1789339343.9465823,76,793
2026-09-13 19:42:24.936,1789339344.936597,74,813
2026-09-13 19:42:25.926,1789339345.9261498,70,853
2026-09-13 19:42:26.134,1789339346.134,73,817
2026-09-13 19:42:26.961,1789339346.961,73,827
2026-09-13 19:42:27.951,1789339347.95119,66,905
2026-09-13 19:42:28.940,1789339348.940895,84,718
2026-09-13 19:42:29.931,1789339349.9312732,60,1004
2026-09-13 19:42:30.966,1789339350.9664996,69,870
2026-09-13 19:42:31.134,1789339351.1344843,71,845
2026-09-13 19:42:31.956,1789339351.956484,73,822
2026-09-13 19:42:33.213,1789339353.213841,74,810
2026-09-13 19:42:33.936,1789339353.9368408,83,723
2026-09-13 19:42:34.926,1789339354.9262538,54,1120
2026-09-13 19:42:35.961,1789339355.9611502,65,917
2026-09-13 19:42:36.951,1789339356.9511473,68,877
2026-09-13 19:42:37.941,1789339357.9412513,66,913
2026-09-13 19:42:38.931,1789339358.9311774,72,830
2026-09-13 19:42:39.115,1789339359.1155653,73,817
2026-09-13 19:42:39.966,1789339359.9665654,71,851
2026-09-13 19:42:40.956,1789339360.9567108,73,819
2026-09-13 19:42:41.946,1789339361.9465146,77,782
2026-09-13 19:42:42.936,1789339362.9364722,71,846
2026-09-13 19:42:43.926,1789339363.926165,66,909
2026-09-13 19:42:44.961,1789339364.9610317,73,827
2026-09-13 19:42:45.057,1789339365.0572085,75,805
2026-09-13 19:42:45.951,1789339365.9512084,67,894
2026-09-13 19:42:46.941,1789339366.9411776,67,889
2026-09-13 19:42:47.931,1789339367.931172,72,836
2026-09-13 19:42:48.966,1789339368.9665713,69,866
2026-09-13 19:42:49.956,1789339369.9568367,66,903
2026-09-13 19:42:50.154,1789339370.1545444,73,823
2026-09-13 19:42:50.946,1789339370.9465444,76,792
2026-09-13 19:42:51.936,1789339371.9364064,74,811
2026-09-13 19:42:52.926,1789339372.9260137,73,817
2026-09-13 19:42:54.006,1789339374.006239,78,774
2026-09-13 19:42:54.166,1789339374.1665215,76,789
2026-09-13 19:42:54.996,1789339374.9965215,72,830
2026-09-13 19:42:55.943,1789339375.9434884,75,803
2026-09-13 19:42:56.931,1789339376.9313974,78,771
2026-09-13 19:42:57.967,1789339377.9678268,73,817
2026-09-13 19:42:58.157,1789339378.1576889,72,836
2026-09-13 19:42:58.956,1789339378.956689,75,799
2026-09-13 19:42:59.946,1789339379.9462855,77,780
2026-09-13 19:43:00.938,1789339380.9383204,72,829
2026-09-13 19:43:01.971,1789339381.9716895,71,849
2026-09-13 19:43:02.961,1789339382.961317,75,800
2026-09-13 19:43:03.067,1789339383.0674047,74,814
2026-09-13 19:43:03.951,1789339383.9514048,68,884
2026-09-13 19:43:04.943,1789339384.9432185,70,860
2026-09-13 19:43:05.931,1789339385.9311366,77,784
2026-09-13 19:43:06.966,1789339386.966428,74,806
2026-09-13 19:43:07.956,1789339387.956727,69,866
2026-09-13 19:43:08.991,1789339388.9913564,73,826
2026-09-13 19:43:09.041,1789339389.0417902,74,812
2026-09-13 19:43:09.937,1789339389.9377902,67,896
2026-09-13 19:43:10.927,1789339390.9274158,65,922
2026-09-13 19:43:11.961,1789339391.9611125,72,838
2026-09-13 19:43:12.142,1789339392.142393,73,822
