timestamp_local,timestamp_epoch_s,hr_bpm,rr_ms
2026-09-13 19:03:20.360,1789337000.3602667,98,612
2026-09-13 19:03:20.971,1789337000.9712667,98,611
2026-09-13 19:03:21.961,1789337001.9613373,96,622
2026-09-13 19:03:22.381,1789337002.381995,97,618
2026-09-13 19:03:22.995,1789337002.9959948,98,614
2026-09-13 19:03:23.397,1789337003.3973095,99,608
2026-09-13 19:03:23.986,1789337003.9863093,102,589
2026-09-13 19:03:24.977,1789337004.977066,105,574
2026-09-13 19:03:25.401,1789337005.4019914,107,563
2026-09-13 19:03:25.965,1789337005.9659915,106,564
2026-09-13 19:03:26.463,1789337006.4631135,105,570
2026-09-13 19:03:27.047,1789337007.0471134,103,584
2026-09-13 19:03:27.991,1789337007.991553,101,593
2026-09-13 19:03:28.372,1789337008.3722503,100,603
2026-09-13 19:03:28.981,1789337008.9812503,99,609
2026-09-13 19:03:29.391,1789337009.3914745,100,601
2026-09-13 19:03:29.971,1789337009.9714744,103,580
2026-09-13 19:03:30.393,1789337010.3935359,105,572
2026-09-13 19:03:30.961,1789337010.9615357,106,568
2026-09-13 19:03:31.996,1789337011.996888,104,576
2026-09-13 19:03:32.338,1789337012.3384447,101,597
2026-09-13 19:03:32.986,1789337012.9864447,93,648
2026-09-13 19:03:33.976,1789337013.9761007,90,668
2026-09-13 19:03:34.312,1789337014.312976,91,660
2026-09-13 19:03:34.966,1789337014.966976,92,654
2026-09-13 19:03:35.404,1789337015.404441,96,624
2026-09-13 19:03:36.002,1789337016.002441,100,598
2026-09-13 19:03:36.991,1789337016.991485,103,583
2026-09-13 19:03:37.406,1789337017.406405,105,574
2026-09-13 19:03:37.981,1789337017.981405,104,575
2026-09-13 19:03:38.972,1789337018.9723127,101,597
2026-09-13 19:03:39.254,1789337019.254209,92,654
2026-09-13 19:03:39.961,1789337019.9612088,85,707
2026-09-13 19:03:40.996,1789337020.9961123,86,696
2026-09-13 19:03:41.351,1789337021.3511353,88,685
2026-09-13 19:03:41.986,1789337021.9861352,94,635
2026-09-13 19:03:42.369,1789337022.3691595,98,615
2026-09-13 19:03:42.978,1789337022.9781594,99,609
2026-09-13 19:03:43.966,1789337023.966766,99,605
2026-09-13 19:03:45.046,1789337025.0466363,97,621
2026-09-13 19:03:45.376,1789337025.3762267,91,657
2026-09-13 19:03:46.081,1789337026.0812266,85,705
2026-09-13 19:03:47.026,1789337027.0262702,84,711
2026-09-13 19:03:47.327,1789337027.327611,86,701
2026-09-13 19:03:47.971,1789337027.9716108,93,644
2026-09-13 19:03:48.357,1789337028.357242,97,621
2026-09-13 19:03:48.961,1789337028.9612422,99,604
2026-09-13 19:03:49.996,1789337029.9964244,100,600
2026-09-13 19:03:50.322,1789337030.3224776,98,614
2026-09-13 19:03:50.986,1789337030.9864776,90,664
2026-09-13 19:03:51.975,1789337031.9759912,80,747
2026-09-13 19:03:52.966,1789337032.966186,80,750
2026-09-13 19:03:53.334,1789337033.3341482,82,732
2026-09-13 19:03:54.001,1789337034.0011482,90,667
2026-09-13 19:03:54.372,1789337034.3728087,94,637
2026-09-13 19:03:54.991,1789337034.9918087,97,619
2026-09-13 19:03:55.981,1789337035.9815335,97,616
2026-09-13 19:03:56.971,1789337036.9719605,94,637
2026-09-13 19:03:57.244,1789337037.2440286,87,687
2026-09-13 19:03:57.961,1789337037.9610286,84,717
2026-09-13 19:03:58.308,1789337038.308538,84,711
2026-09-13 19:03:58.996,1789337038.996538,87,688
