timestamp_local,timestamp_epoch_s,x_mg,y_mg,z_mg
2026-09-13 19:07:41.319,1789337261.3190386,-968,39,104
2026-09-13 19:07:41.339,1789337261.3390386,-966,41,109
2026-09-13 19:07:41.359,1789337261.3590386,-972,41,115
2026-09-13 19:07:41.379,1789337261.3790386,-973,43,122
2026-09-13 19:07:41.399,1789337261.3990386,-975,45,117
2026-09-13 19:07:41.419,1789337261.4190385,-971,43,106
2026-09-13 19:07:41.439,1789337261.4390385,-965,38,118
2026-09-13 19:07:41.459,1789337261.4590387,-969,38,118
2026-09-13 19:07:41.479,1789337261.4790387,-969,44,119
2026-09-13 19:07:41.499,1789337261.4990387,-968,41,124
2026-09-13 19:07:41.519,1789337261.5190387,-969,40,123
2026-09-13 19:07:41.539,1789337261.5390387,-965,45,129
2026-09-13 19:07:41.559,1789337261.5590386,-968,44,119
2026-09-13 19:07:41.579,1789337261.5790386,-970,46,115
2026-09-13 19:07:41.599,1789337261.5990386,-969,45,111
2026-09-13 19:07:41.619,1789337261.6190386,-971,43,104
2026-09-13 19:07:41.639,1789337261.6390386,-966,43,123
2026-09-13 19:07:41.659,1789337261.6590385,-983,49,106
2026-09-13 19:07:41.679,1789337261.6790385,-968,49,85
2026-09-13 19:07:41.699,1789337261.6990387,-968,46,107
2026-09-13 19:07:41.719,1789337261.7190387,-968,47,127
2026-09-13 19:07:41.739,1789337261.7390387,-985,53,99
2026-09-13 19:07:41.759,1789337261.7590387,-965,48,80
2026-09-13 19:07:41.779,1789337261.7790387,-961,45,83
2026-09-13 19:07:41.799,1789337261.7990386,-973,51,105
2026-09-13 19:07:41.819,1789337261.8190386,-975,48,104
2026-09-13 19:07:41.839,1789337261.8390386,-974,43,93
2026-09-13 19:07:41.859,1789337261.8590386,-972,42,95
2026-09-13 19:07:41.879,1789337261.8790386,-974,46,91
2026-09-13 19:07:41.899,1789337261.8990386,-972,45,88
2026-09-13 19:07:41.919,1789337261.9190385,-972,46,92
2026-09-13 19:07:41.939,1789337261.9390385,-971,48,92
2026-09-13 19:07:41.959,1789337261.9590387,-975,49,84
2026-09-13 19:07:41.979,1789337261.9790387,-972,46,91
2026-09-13 19:07:41.999,1789337261.9990387,-972,44,93
2026-09-13 19:07:42.019,1789337262.0190387,-974,51,90
2026-09-13 19:07:42.025,1789337262.025744,-972,50,91
2026-09-13 19:07:42.045,1789337262.045744,-973,51,87
2026-09-13 19:07:42.065,1789337262.065744,-970,50,90
2026-09-13 19:07:42.085,1789337262.085744,-975,43,85
2026-09-13 19:07:42.105,1789337262.105744,-971,44,79
2026-09-13 19:07:42.125,1789337262.1257439,-969,52,87
2026-09-13 19:07:42.145,1789337262.1457438,-975,53,90
2026-09-13 19:07:42.165,1789337262.165744,-973,54,81
2026-09-13 19:07:42.185,1789337262.185744,-971,49,92
2026-09-13 19:07:42.205,1789337262.205744,-982,52,78
2026-09-13 19:07:42.225,1789337262.225744,-970,50,66
2026-09-13 19:07:42.245,1789337262.245744,-968,50,84
2026-09-13 19:07:42.265,1789337262.265744,-969,49,103
2026-09-13 19:07:42.285,1789337262.285744,-984,49,79
2026-09-13 19:07:42.305,1789337262.305744,-970,44,68
2026-09-13 19:07:42.325,1789337262.325744,-971,44,75
2026-09-13 19:07:42.345,1789337262.345744,-971,52,88
2026-09-13 19:07:42.365,1789337262.3657439,-975,54,88
2026-09-13 19:07:42.385,1789337262.3857439,-975,54,87
2026-09-13 19:07:42.405,1789337262.405744,-971,51,80
2026-09-13 19:07:42.425,1789337262.425744,-971,47,82
2026-09-13 19:07:42.445,1789337262.445744,-977,47,83
2026-09-13 19:07:42.465,1789337262.465744,-975,50,84
2026-09-13 19:07:42.485,1789337262.485744,-975,50,86
2026-09-13 19:07:42.505,1789337262.505744,-975,49,78
2026-09-13 19:07:42.525,1789337262.525744,-975,45,77
2026-09-13 19:07:42.545,1789337262.545744,-976,42,85
2026-09-13 19:07:42.565,1789337262.565744,-985,51,98
2026-09-13 19:07:42.585,1789337262.585744,-986,54,101
2026-09-13 19:07:42.605,1789337262.605744,-983,55,106
2026-09-13 19:07:42.625,1789337262.6257439,-975,52,100
2026-09-13 19:07:42.645,1789337262.6457438,-973,49,96
2026-09-13 19:07:42.665,1789337262.665744,-978,46,102
2026-09-13 19:07:42.685,1789337262.685744,-981,38,101
2026-09-13 19:07:42.705,1789337262.705744,-982,38,103
2026-09-13 19:07:42.725,1789337262.725744,-985,39,85
2026-09-13 19:07:42.732,1789337262.7323275,-962,42,87
2026-09-13 19:07:42.752,1789337262.7523274,-971,48,92
2026-09-13 19:07:42.772,1789337262.7723274,-976,51,67
2026-09-13 19:07:42.792,1789337262.7923274,-970,43,70
2026-09-13 19:07:42.812,1789337262.8123274,-951,41,91
2026-09-13 19:07:42.832,1789337262.8323274,-975,38,87
2026-09-13 19:07:42.852,1789337262.8523273,-980,41,45
2026-09-13 19:07:42.872,1789337262.8723276,-958,44,59
2026-09-13 19:07:42.892,1789337262.8923275,-968,44,72
2026-09-13 19:07:42.912,1789337262.9123275,-971,50,59
2026-09-13 19:07:42.932,1789337262.9323275,-965,44,61
2026-09-13 19:07:42.952,1789337262.9523275,-971,41,56
2026-09-13 19:07:42.972,1789337262.9723275,-975,42,53
2026-09-13 19:07:42.992,1789337262.9923275,-978,34,52
2026-09-13 19:07:43.012,1789337263.0123274,-981,30,48
2026-09-13 19:07:43.032,1789337263.0323274,-979,29,44
2026-09-13 19:07:43.052,1789337263.0523274,-976,31,42
2026-09-13 19:07:43.072,1789337263.0723274,-975,30,28
2026-09-13 19:07:43.092,1789337263.0923274,-973,31,38
2026-09-13 19:07:43.112,1789337263.1123276,-983,36,46
2026-09-13 19:07:43.132,1789337263.1323276,-987,42,42
2026-09-13 19:07:43.152,1789337263.1523275,-977,37,38
2026-09-13 19:07:43.172,1789337263.1723275,-973,36,34
2026-09-13 19:07:43.192,1789337263.1923275,-971,37,33
2026-09-13 19:07:43.212,1789337263.2123275,-972,36,29
2026-09-13 19:07:43.232,1789337263.2323275,-974,35,32
2026-09-13 19:07:43.252,1789337263.2523274,-976,37,33
2026-09-13 19:07:43.272,1789337263.2723274,-979,35,31
2026-09-13 19:07:43.292,1789337263.2923274,-970,34,36
2026-09-13 19:07:43.312,1789337263.3123274,-975,37,41
2026-09-13 19:07:43.332,1789337263.3323274,-979,38,27
2026-09-13 19:07:43.352,1789337263.3523273,-971,35,15
2026-09-13 19:07:43.372,1789337263.3723276,-950,34,45
2026-09-13 19:07:43.392,1789337263.3923275,-971,37,66
2026-09-13 19:07:43.412,1789337263.4123275,-994,38,19
2026-09-13 19:07:43.432,1789337263.4323275,-973,31,29
2026-09-13 19:07:43.438,1789337263.438819,-984,33,52
2026-09-13 19:07:43.458,1789337263.458819,-978,37,43
2026-09-13 19:07:43.478,1789337263.478819,-970,38,38
2026-09-13 19:07:43.498,1789337263.4988189,-972,39,37
2026-09-13 19:07:43.518,1789337263.5188189,-970,36,36
2026-09-13 19:07:43.538,1789337263.5388188,-972,38,39
2026-09-13 19:07:43.558,1789337263.5588188,-978,35,38
2026-09-13 19:07:43.578,1789337263.578819,-981,35,46
2026-09-13 19:07:43.598,1789337263.598819,-980,40,48
2026-09-13 19:07:43.618,1789337263.618819,-976,35,28
2026-09-13 19:07:43.638,1789337263.638819,-968,33,33
2026-09-13 19:07:43.658,1789337263.658819,-974,36,35
2026-09-13 19:07:43.678,1789337263.678819,-974,43,37
2026-09-13 19:07:43.698,1789337263.698819,-970,37,45
2026-09-13 19:07:43.718,1789337263.718819,-967,35,52
2026-09-13 19:07:43.738,1789337263.738819,-969,35,56
2026-09-13 19:07:43.758,1789337263.7588189,-957,30,42
2026-09-13 19:07:43.778,1789337263.7788188,-943,36,39
2026-09-13 19:07:43.798,1789337263.7988188,-936,38,51
2026-09-13 19:07:43.818,1789337263.818819,-940,36,57
2026-09-13 19:07:43.838,1789337263.838819,-953,30,75
2026-09-13 19:07:43.858,1789337263.858819,-982,36,49
2026-09-13 19:07:43.878,1789337263.878819,-978,44,34
2026-09-13 19:07:43.898,1789337263.898819,-971,41,47
2026-09-13 19:07:43.918,1789337263.918819,-966,42,110
2026-09-13 19:07:43.938,1789337263.938819,-1004,49,84
2026-09-13 19:07:43.958,1789337263.958819,-985,56,60
2026-09-13 19:07:43.978,1789337263.978819,-976,45,92
2026-09-13 19:07:43.998,1789337263.9988189,-992,35,122
2026-09-13 19:07:44.018,1789337264.0188189,-993,45,110
2026-09-13 19:07:44.038,1789337264.0388188,-966,45,97
2026-09-13 19:07:44.058,1789337264.0588188,-962,45,86
2026-09-13 19:07:44.078,1789337264.078819,-967,45,89
2026-09-13 19:07:44.098,1789337264.098819,-970,46,95
2026-09-13 19:07:44.118,1789337264.118819,-975,41,101
2026-09-13 19:07:44.138,1789337264.138819,-976,39,108
2026-09-13 19:07:44.145,1789337264.145738,-975,43,109
2026-09-13 19:07:44.165,1789337264.1657379,-979,44,96
2026-09-13 19:07:44.185,1789337264.1857378,-972,37,99
2026-09-13 19:07:44.205,1789337264.2057378,-970,37,103
2026-09-13 19:07:44.225,1789337264.2257378,-973,42,98
2026-09-13 19:07:44.245,1789337264.2457378,-968,43,101
2026-09-13 19:07:44.265,1789337264.2657378,-968,42,107
2026-09-13 19:07:44.285,1789337264.285738,-971,43,106
2026-09-13 19:07:44.305,1789337264.305738,-968,46,98
2026-09-13 19:07:44.325,1789337264.325738,-967,45,109
2026-09-13 19:07:44.345,1789337264.345738,-971,43,109
2026-09-13 19:07:44.365,1789337264.365738,-971,45,103
2026-09-13 19:07:44.385,1789337264.385738,-963,44,120
2026-09-13 19:07:44.405,1789337264.4057379,-984,44,99
2026-09-13 19:07:44.425,1789337264.4257379,-969,47,90
2026-09-13 19:07:44.445,1789337264.4457378,-955,51,118
2026-09-13 19:07:44.465,1789337264.4657378,-966,52,137
2026-09-13 19:07:44.485,1789337264.4857378,-996,57,107
2026-09-13 19:07:44.505,1789337264.5057378,-969,45,84
2026-09-13 19:07:44.525,1789337264.525738,-956,42,98
2026-09-13 19:07:44.545,1789337264.545738,-966,55,115
2026-09-13 19:07:44.565,1789337264.565738,-977,57,119
2026-09-13 19:07:44.585,1789337264.585738,-975,49,112
2026-09-13 19:07:44.605,1789337264.605738,-975,42,104
2026-09-13 19:07:44.625,1789337264.625738,-976,47,105
2026-09-13 19:07:44.645,1789337264.645738,-968,48,104
2026-09-13 19:07:44.665,1789337264.6657379,-964,48,109
2026-09-13 19:07:44.685,1789337264.6857378,-965,46,122
2026-09-13 19:07:44.705,1789337264.7057378,-978,44,119
2026-09-13 19:07:44.725,1789337264.7257378,-967,41,116
2026-09-13 19:07:44.745,1789337264.7457378,-968,41,121
2026-09-13 19:07:44.765,1789337264.7657378,-974,45,120
2026-09-13 19:07:44.785,1789337264.785738,-971,46,118
2026-09-13 19:07:44.805,1789337264.805738,-970,41,122
2026-09-13 19:07:44.825,1789337264.825738,-966,42,121
2026-09-13 19:07:44.845,1789337264.845738,-970,42,125
2026-09-13 19:07:44.852,1789337264.8524435,-970,45,121
2026-09-13 19:07:44.872,1789337264.8724434,-962,43,116
2026-09-13 19:07:44.892,1789337264.8924434,-966,40,119
2026-09-13 19:07:44.912,1789337264.9124434,-970,40,114
2026-09-13 19:07:44.932,1789337264.9324434,-963,42,131
2026-09-13 19:07:44.952,1789337264.9524434,-976,46,114
2026-09-13 19:07:44.972,1789337264.9724433,-965,44,106
2026-09-13 19:07:44.992,1789337264.9924436,-966,40,129
2026-09-13 19:07:45.012,1789337265.0124435,-969,40,137
2026-09-13 19:07:45.032,1789337265.0324435,-978,42,110
2026-09-13 19:07:45.052,1789337265.0524435,-959,42,102
2026-09-13 19:07:45.072,1789337265.0724435,-964,46,118
2026-09-13 19:07:45.092,1789337265.0924435,-972,51,132
2026-09-13 19:07:45.112,1789337265.1124434,-973,41,125
2026-09-13 19:07:45.132,1789337265.1324434,-968,40,117
2026-09-13 19:07:45.152,1789337265.1524434,-968,46,112
2026-09-13 19:07:45.172,1789337265.1724434,-968,48,112
2026-09-13 19:07:45.192,1789337265.1924434,-969,45,118
2026-09-13 19:07:45.212,1789337265.2124434,-974,41,121
2026-09-13 19:07:45.232,1789337265.2324436,-979,46,123
2026-09-13 19:07:45.252,1789337265.2524436,-975,48,107
2026-09-13 19:07:45.272,1789337265.2724435,-964,46,111
2026-09-13 19:07:45.292,1789337265.2924435,-970,45,121
2026-09-13 19:07:45.312,1789337265.3124435,-971,47,116
2026-09-13 19:07:45.332,1789337265.3324435,-967,46,116
2026-09-13 19:07:45.352,1789337265.3524435,-969,44,122
2026-09-13 19:07:45.372,1789337265.3724434,-969,42,121
2026-09-13 19:07:45.392,1789337265.3924434,-963,40,118
2026-09-13 19:07:45.412,1789337265.4124434,-966,41,125
2026-09-13 19:07:45.432,1789337265.4324434,-972,39,123
2026-09-13 19:07:45.452,1789337265.4524434,-972,40,122
2026-09-13 19:07:45.472,1789337265.4724433,-972,42,123
2026-09-13 19:07:45.492,1789337265.4924436,-966,43,129
2026-09-13 19:07:45.512,1789337265.5124435,-974,45,131
2026-09-13 19:07:45.532,1789337265.5324435,-975,48,122
2026-09-13 19:07:45.552,1789337265.5524435,-973,47,129
2026-09-13 19:07:45.559,1789337265.5590875,-967,51,140
2026-09-13 19:07:45.579,1789337265.5790875,-990,50,138
2026-09-13 19:07:45.599,1789337265.5990875,-1004,49,120
2026-09-13 19:07:45.619,1789337265.6190875,-990,38,102
2026-09-13 19:07:45.639,1789337265.6390874,-981,35,113
2026-09-13 19:07:45.659,1789337265.6590874,-1002,48,116
2026-09-13 19:07:45.679,1789337265.6790874,-986,39,95
2026-09-13 19:07:45.699,1789337265.6990876,-960,35,87
2026-09-13 19:07:45.719,1789337265.7190876,-965,36,75
2026-09-13 19:07:45.739,1789337265.7390876,-967,37,70
2026-09-13 19:07:45.759,1789337265.7590876,-957,37,66
2026-09-13 19:07:45.779,1789337265.7790875,-960,37,63
2026-09-13 19:07:45.799,1789337265.7990875,-967,44,61
2026-09-13 19:07:45.819,1789337265.8190875,-970,37,48
2026-09-13 19:07:45.839,1789337265.8390875,-974,34,62
2026-09-13 19:07:45.859,1789337265.8590875,-979,37,59
2026-09-13 19:07:45.879,1789337265.8790874,-977,38,60
2026-09-13 19:07:45.899,1789337265.8990874,-974,33,57
2026-09-13 19:07:45.919,1789337265.9190874,-971,35,47
2026-09-13 19:07:45.939,1789337265.9390876,-968,35,49
2026-09-13 19:07:45.959,1789337265.9590876,-972,34,54
2026-09-13 19:07:45.979,1789337265.9790876,-976,35,48
2026-09-13 19:07:45.999,1789337265.9990876,-973,34,50
2026-09-13 19:07:46.019,1789337266.0190876,-971,33,48
2026-09-13 19:07:46.039,1789337266.0390875,-974,36,47
2026-09-13 19:07:46.059,1789337266.0590875,-971,36,49
2026-09-13 19:07:46.079,1789337266.0790875,-975,38,51
2026-09-13 19:07:46.099,1789337266.0990875,-973,37,36
2026-09-13 19:07:46.119,1789337266.1190875,-971,35,32
2026-09-13 19:07:46.139,1789337266.1390874,-954,31,75
2026-09-13 19:07:46.159,1789337266.1590874,-993,36,67
2026-09-13 19:07:46.179,1789337266.1790874,-990,36,29
2026-09-13 19:07:46.199,1789337266.1990876,-971,31,54
2026-09-13 19:07:46.219,1789337266.2190876,-983,34,64
2026-09-13 19:07:46.239,1789337266.2390876,-975,36,54
2026-09-13 19:07:46.259,1789337266.2590876,-969,36,49
2026-09-13 19:07:46.265,1789337266.265854,-976,33,55
2026-09-13 19:07:46.285,1789337266.2858539,-991,37,60
2026-09-13 19:07:46.305,1789337266.3058538,-1003,33,65
2026-09-13 19:07:46.325,1789337266.3258538,-989,29,63
2026-09-13 19:07:46.345,1789337266.3458538,-973,34,62
2026-09-13 19:07:46.365,1789337266.3658538,-965,39,60
2026-09-13 19:07:46.385,1789337266.3858538,-965,35,45
2026-09-13 19:07:46.405,1789337266.405854,-964,35,63
2026-09-13 19:07:46.425,1789337266.425854,-975,39,70
2026-09-13 19:07:46.445,1789337266.445854,-978,42,66
2026-09-13 19:07:46.465,1789337266.465854,-976,37,67
2026-09-13 19:07:46.485,1789337266.485854,-974,38,62
2026-09-13 19:07:46.505,1789337266.505854,-972,40,67
2026-09-13 19:07:46.525,1789337266.5258539,-971,35,64
2026-09-13 19:07:46.545,1789337266.5458539,-972,38,62
2026-09-13 19:07:46.565,1789337266.5658538,-971,37,68
2026-09-13 19:07:46.585,1789337266.5858538,-969,38,69
2026-09-13 19:07:46.605,1789337266.6058538,-971,39,69
2026-09-13 19:07:46.625,1789337266.6258538,-966,37,76
2026-09-13 19:07:46.645,1789337266.645854,-963,41,59
2026-09-13 19:07:46.665,1789337266.665854,-948,39,54
2026-09-13 19:07:46.685,1789337266.685854,-933,40,82
2026-09-13 19:07:46.705,1789337266.705854,-947,38,103
2026-09-13 19:07:46.725,1789337266.725854,-957,40,31
2026-09-13 19:07:46.745,1789337266.745854,-918,38,47
2026-09-13 19:07:46.765,1789337266.765854,-938,38,93
2026-09-13 19:07:46.785,1789337266.7858539,-964,36,96
2026-09-13 19:07:46.805,1789337266.8058538,-957,36,70
2026-09-13 19:07:46.825,1789337266.8258538,-972,45,40
2026-09-13 19:07:46.845,1789337266.8458538,-968,43,87
2026-09-13 19:07:46.865,1789337266.8658538,-990,41,115
2026-09-13 19:07:46.885,1789337266.8858538,-1009,51,132
2026-09-13 19:07:46.905,1789337266.905854,-1008,53,129
2026-09-13 19:07:46.925,1789337266.925854,-988,51,121
2026-09-13 19:07:46.945,1789337266.945854,-978,52,85
2026-09-13 19:07:46.965,1789337266.965854,-948,40,81
2026-09-13 19:07:46.972,1789337266.9724066,-943,33,103
2026-09-13 19:07:46.992,1789337266.9924066,-973,39,109
2026-09-13 19:07:47.012,1789337267.0124066,-976,37,112
2026-09-13 19:07:47.032,1789337267.0324066,-973,35,110
2026-09-13 19:07:47.052,1789337267.0524065,-970,38,106
2026-09-13 19:07:47.072,1789337267.0724065,-972,38,98
2026-09-13 19:07:47.092,1789337267.0924065,-970,40,103
2026-09-13 19:07:47.112,1789337267.1124067,-971,39,105
2026-09-13 19:07:47.132,1789337267.1324067,-971,40,104
2026-09-13 19:07:47.152,1789337267.1524067,-971,38,104
2026-09-13 19:07:47.172,1789337267.1724067,-964,37,120
2026-09-13 19:07:47.192,1789337267.1924067,-984,46,105
2026-09-13 19:07:47.212,1789337267.2124066,-976,44,95
2026-09-13 19:07:47.232,1789337267.2324066,-959,45,119
2026-09-13 19:07:47.252,1789337267.2524066,-961,45,142
2026-09-13 19:07:47.272,1789337267.2724066,-991,49,111
2026-09-13 19:07:47.292,1789337267.2924066,-965,39,98
2026-09-13 19:07:47.312,1789337267.3124065,-962,38,115
2026-09-13 19:07:47.332,1789337267.3324065,-967,43,132
2026-09-13 19:07:47.352,1789337267.3524067,-971,46,132
2026-09-13 19:07:47.372,1789337267.3724067,-970,41,127
2026-09-13 19:07:47.392,1789337267.3924067,-969,35,124
2026-09-13 19:07:47.412,1789337267.4124067,-970,39,125
2026-09-13 19:07:47.432,1789337267.4324067,-967,42,127
2026-09-13 19:07:47.452,1789337267.4524066,-966,44,127
2026-09-13 19:07:47.472,1789337267.4724066,-968,46,130
2026-09-13 19:07:47.492,1789337267.4924066,-972,42,123
2026-09-13 19:07:47.512,1789337267.5124066,-965,41,126
2026-09-13 19:07:47.532,1789337267.5324066,-963,37,134
2026-09-13 19:07:47.552,1789337267.5524065,-970,48,134
2026-09-13 19:07:47.572,1789337267.5724065,-971,52,130
2026-09-13 19:07:47.592,1789337267.5924065,-965,51,131
2026-09-13 19:07:47.612,1789337267.6124067,-969,47,128
2026-09-13 19:07:47.632,1789337267.6324067,-966,49,132
2026-09-13 19:07:47.652,1789337267.6524067,-968,48,136
2026-09-13 19:07:47.672,1789337267.6724067,-970,47,136
2026-09-13 19:07:47.679,1789337267.679051,-967,44,132
2026-09-13 19:07:47.699,1789337267.699051,-969,42,133
2026-09-13 19:07:47.719,1789337267.719051,-968,40,132
2026-09-13 19:07:47.739,1789337267.7390509,-963,44,134
2026-09-13 19:07:47.759,1789337267.7590508,-970,49,135
2026-09-13 19:07:47.779,1789337267.7790508,-970,47,118
2026-09-13 19:07:47.799,1789337267.7990508,-961,44,139
2026-09-13 19:07:47.819,1789337267.819051,-965,42,146
2026-09-13 19:07:47.839,1789337267.839051,-981,48,132
2026-09-13 19:07:47.859,1789337267.859051,-965,45,110
2026-09-13 19:07:47.879,1789337267.879051,-956,44,120
2026-09-13 19:07:47.899,1789337267.899051,-962,51,135
2026-09-13 19:07:47.919,1789337267.919051,-973,46,135
2026-09-13 19:07:47.939,1789337267.939051,-971,46,134
2026-09-13 19:07:47.959,1789337267.959051,-968,44,132
2026-09-13 19:07:47.979,1789337267.9790509,-969,44,128
2026-09-13 19:07:47.999,1789337267.9990509,-968,45,131
2026-09-13 19:07:48.019,1789337268.0190508,-967,45,132
2026-09-13 19:07:48.039,1789337268.0390508,-968,45,137
2026-09-13 19:07:48.059,1789337268.059051,-972,50,126
2026-09-13 19:07:48.079,1789337268.079051,-963,45,126
2026-09-13 19:07:48.099,1789337268.099051,-964,46,133
2026-09-13 19:07:48.119,1789337268.119051,-967,50,129
2026-09-13 19:07:48.139,1789337268.139051,-968,48,131
2026-09-13 19:07:48.159,1789337268.159051,-968,48,133
2026-09-13 19:07:48.179,1789337268.179051,-968,45,129
2026-09-13 19:07:48.199,1789337268.199051,-969,47,130
2026-09-13 19:07:48.219,1789337268.219051,-972,49,126
2026-09-13 19:07:48.239,1789337268.2390509,-966,46,122
2026-09-13 19:07:48.259,1789337268.2590508,-968,45,129
2026-09-13 19:07:48.279,1789337268.2790508,-972,44,127
2026-09-13 19:07:48.299,1789337268.2990508,-969,44,125
2026-09-13 19:07:48.319,1789337268.319051,-966,46,122
2026-09-13 19:07:48.339,1789337268.339051,-968,44,122
2026-09-13 19:07:48.359,1789337268.359051,-969,42,132
2026-09-13 19:07:48.379,1789337268.379051,-977,45,113
2026-09-13 19:07:48.385,1789337268.3858786,-965,46,119
2026-09-13 19:07:48.405,1789337268.4058785,-962,45,131
2026-09-13 19:07:48.425,1789337268.4258785,-967,45,130
2026-09-13 19:07:48.445,1789337268.4458785,-971,49,109
2026-09-13 19:07:48.465,1789337268.4658785,-962,46,123
2026-09-13 19:07:48.485,1789337268.4858785,-972,48,129
2026-09-13 19:07:48.505,1789337268.5058784,-974,50,132
2026-09-13 19:07:48.525,1789337268.5258787,-972,47,130
2026-09-13 19:07:48.545,1789337268.5458786,-971,44,127
2026-09-13 19:07:48.565,1789337268.5658786,-969,44,128
2026-09-13 19:07:48.585,1789337268.5858786,-967,46,132
2026-09-13 19:07:48.605,1789337268.6058786,-970,45,128
2026-09-13 19:07:48.625,1789337268.6258786,-970,48,120
2026-09-13 19:07:48.645,1789337268.6458786,-973,49,120
2026-09-13 19:07:48.665,1789337268.6658785,-974,52,124
2026-09-13 19:07:48.685,1789337268.6858785,-982,53,125
2026-09-13 19:07:48.705,1789337268.7058785,-983,43,129
2026-09-13 19:07:48.725,1789337268.7258785,-982,38,119
2026-09-13 19:07:48.745,1789337268.7458785,-974,40,106
2026-09-13 19:07:48.765,1789337268.7658787,-967,42,102
2026-09-13 19:07:48.785,1789337268.7858787,-963,48,108
2026-09-13 19:07:48.805,1789337268.8058786,-974,46,106
2026-09-13 19:07:48.825,1789337268.8258786,-974,45,98
2026-09-13 19:07:48.845,1789337268.8458786,-968,41,96
2026-09-13 19:07:48.865,1789337268.8658786,-973,42,95
2026-09-13 19:07:48.885,1789337268.8858786,-977,39,88
2026-09-13 19:07:48.905,1789337268.9058785,-970,37,80
2026-09-13 19:07:48.925,1789337268.9258785,-969,38,81
2026-09-13 19:07:48.945,1789337268.9458785,-968,37,91
2026-09-13 19:07:48.965,1789337268.9658785,-981,39,89
2026-09-13 19:07:48.985,1789337268.9858785,-982,38,65
2026-09-13 19:07:49.005,1789337269.0058784,-973,32,60
2026-09-13 19:07:49.025,1789337269.0258787,-944,34,93
2026-09-13 19:07:49.045,1789337269.0458786,-981,37,80
2026-09-13 19:07:49.065,1789337269.0658786,-981,36,55
2026-09-13 19:07:49.085,1789337269.0858786,-970,29,70
2026-09-13 19:07:49.092,1789337269.0929196,-975,37,81
2026-09-13 19:07:49.112,1789337269.1129196,-976,37,74
2026-09-13 19:07:49.132,1789337269.1329195,-974,37,69
2026-09-13 19:07:49.152,1789337269.1529195,-970,34,65
2026-09-13 19:07:49.172,1789337269.1729195,-967,34,70
2026-09-13 19:07:49.192,1789337269.1929195,-972,35,68
2026-09-13 19:07:49.212,1789337269.2129195,-974,35,67
2026-09-13 19:07:49.232,1789337269.2329197,-973,36,67
2026-09-13 19:07:49.252,1789337269.2529197,-973,35,62
2026-09-13 19:07:49.272,1789337269.2729197,-972,32,59
2026-09-13 19:07:49.292,1789337269.2929196,-975,33,64
2026-09-13 19:07:49.312,1789337269.3129196,-977,39,68
2026-09-13 19:07:49.332,1789337269.3329196,-978,38,65
2026-09-13 19:07:49.352,1789337269.3529196,-973,34,68
2026-09-13 19:07:49.372,1789337269.3729196,-976,32,66
2026-09-13 19:07:49.392,1789337269.3929195,-975,35,57
2026-09-13 19:07:49.412,1789337269.4129195,-968,36,55
2026-09-13 19:07:49.432,1789337269.4329195,-968,37,61
2026-09-13 19:07:49.452,1789337269.4529195,-974,33,64
2026-09-13 19:07:49.472,1789337269.4729197,-980,34,57
2026-09-13 19:07:49.492,1789337269.4929197,-978,34,57
2026-09-13 19:07:49.512,1789337269.5129197,-976,35,57
2026-09-13 19:07:49.532,1789337269.5329196,-973,35,65
2026-09-13 19:07:49.552,1789337269.5529196,-980,38,59
2026-09-13 19:07:49.572,1789337269.5729196,-980,36,44
2026-09-13 19:07:49.592,1789337269.5929196,-971,31,40
2026-09-13 19:07:49.612,1789337269.6129196,-953,31,75
2026-09-13 19:07:49.632,1789337269.6329195,-974,36,65
2026-09-13 19:07:49.652,1789337269.6529195,-964,37,28
2026-09-13 19:07:49.672,1789337269.6729195,-950,30,67
2026-09-13 19:07:49.692,1789337269.6929195,-965,27,71
