timestamp_local,timestamp_epoch_s,ecg_uV
2026-09-13 19:49:59.170,1789339799.1702607,-21
2026-09-13 19:49:59.177,1789339799.177953,-21
2026-09-13 19:49:59.185,1789339799.1856453,-16
2026-09-13 19:49:59.193,1789339799.1933377,-19
2026-09-13 19:49:59.201,1789339799.20103,-24
2026-09-13 19:49:59.208,1789339799.208722,-16
2026-09-13 19:49:59.216,1789339799.2164145,-12
2026-09-13 19:49:59.224,1789339799.2241068,-14
2026-09-13 19:49:59.231,1789339799.2317991,-16
2026-09-13 19:49:59.239,1789339799.2394915,-12
2026-09-13 19:49:59.247,1789339799.2471838,-12
2026-09-13 19:49:59.254,1789339799.2548761,-12
2026-09-13 19:49:59.262,1789339799.2625685,-9
2026-09-13 19:49:59.270,1789339799.2702606,-9
2026-09-13 19:49:59.277,1789339799.277953,-12
2026-09-13 19:49:59.285,1789339799.2856452,-7
2026-09-13 19:49:59.293,1789339799.2933376,-2
2026-09-13 19:49:59.301,1789339799.30103,-2
2026-09-13 19:49:59.308,1789339799.3087223,-4
2026-09-13 19:49:59.316,1789339799.3164146,-7
2026-09-13 19:49:59.324,1789339799.324107,-2
2026-09-13 19:49:59.331,1789339799.331799,-2
2026-09-13 19:49:59.339,1789339799.3394914,-4
2026-09-13 19:49:59.347,1789339799.3471837,-2
2026-09-13 19:49:59.354,1789339799.354876,-2
2026-09-13 19:49:59.362,1789339799.3625684,-4
2026-09-13 19:49:59.370,1789339799.3702607,0
2026-09-13 19:49:59.377,1789339799.377953,4
2026-09-13 19:49:59.385,1789339799.3856454,0
2026-09-13 19:49:59.393,1789339799.3933375,-12
2026-09-13 19:49:59.401,1789339799.4010298,-14
2026-09-13 19:49:59.408,1789339799.4087222,-7
2026-09-13 19:49:59.416,1789339799.4164145,-2
2026-09-13 19:49:59.424,1789339799.4241068,2
2026-09-13 19:49:59.431,1789339799.4317992,24
2026-09-13 19:49:59.439,1789339799.4394915,41
