timestamp_local,timestamp_epoch_s,hr_bpm,rr_ms
2026-09-11 19:25:07.414,1789165507.4140098,88,684
2026-09-11 19:25:08.573,1789165508.573898,84,712
2026-09-11 19:25:09.394,1789165509.3941061,85,707
2026-09-11 19:25:10.384,1789165510.3845978,42,1426
2026-09-11 19:25:10.598,1789165510.5988886,72,833
2026-09-11 19:25:11.418,1789165511.4188888,73,820
2026-09-11 19:25:12.409,1789165512.4091082,77,779
2026-09-11 19:25:12.753,1789165512.7535534,88,685
2026-09-11 19:25:13.399,1789165513.3995533,93,646
2026-09-11 19:25:14.389,1789165514.3891394,94,636
2026-09-11 19:25:15.378,1789165515.3788893,92,653
2026-09-11 19:25:16.413,1789165516.4139385,86,695
2026-09-11 19:25:16.415,1789165516.4157665,60,996
2026-09-11 19:25:17.403,1789165517.4037666,61,988
2026-09-11 19:25:18.394,1789165518.3941302,76,786
2026-09-11 19:25:18.708,1789165518.7087538,86,699
2026-09-11 19:25:19.384,1789165519.384754,89,676
2026-09-11 19:25:20.419,1789165520.419041,86,695
2026-09-11 19:25:21.409,1789165521.4091048,84,711
2026-09-11 19:25:21.619,1789165521.6195219,80,747
2026-09-11 19:25:22.399,1789165522.3995218,77,780
2026-09-11 19:25:23.434,1789165523.4348812,80,746
2026-09-11 19:25:23.735,1789165523.7358541,89,675
2026-09-11 19:25:24.378,1789165524.3788538,93,643
2026-09-11 19:25:25.414,1789165525.4140704,97,619
2026-09-11 19:25:25.780,1789165525.7800367,96,625
2026-09-11 19:25:26.405,1789165526.4050364,96,625
2026-09-11 19:25:27.394,1789165527.3941333,91,662
2026-09-11 19:25:27.549,1789165527.5490444,77,784
2026-09-11 19:25:28.385,1789165528.3850446,72,836
2026-09-11 19:25:29.150,1789165529.150283,115,522
2026-09-11 19:25:29.419,1789165529.419283,223,269
2026-09-11 19:25:30.455,1789165530.4550052,87,692
2026-09-11 19:25:30.156,1789165530.156446,93,646
2026-09-11 19:25:30.777,1789165530.7774458,97,621
2026-09-11 19:25:31.400,1789165531.400446,96,623
2026-09-11 19:25:32.021,1789165532.0218225,95,633
2026-09-11 19:25:32.389,1789165532.3898225,163,368
2026-09-11 19:25:33.379,1789165533.3790472,108,555
2026-09-11 19:25:34.100,1789165534.100422,45,1340
2026-09-11 19:25:34.806,1789165534.806422,85,706
2026-09-11 19:25:35.449,1789165535.449422,93,643
2026-09-11 19:25:36.439,1789165536.4391425,207,290
2026-09-11 19:25:36.808,1789165536.8082075,182,330
2026-09-11 19:25:37.429,1789165537.4292078,97,621
2026-09-11 19:25:38.418,1789165538.4187756,97,620
2026-09-11 19:25:38.706,1789165538.706026,93,644
2026-09-11 19:25:39.409,1789165539.409026,85,703
2026-09-11 19:25:40.399,1789165540.3995976,82,729
2026-09-11 19:25:40.718,1789165540.718969,81,737
2026-09-11 19:25:41.389,1789165541.389969,89,671
2026-09-11 19:25:42.379,1789165542.379161,94,640
2026-09-11 19:25:42.816,1789165542.8168542,98,611
2026-09-11 19:25:43.416,1789165543.4168544,100,600
2026-09-11 19:25:44.404,1789165544.4049938,98,610
2026-09-11 19:25:45.393,1789165545.393956,91,662
2026-09-11 19:25:45.580,1789165545.580161,77,777
2026-09-11 19:25:46.429,1789165546.429161,71,849
2026-09-11 19:25:47.419,1789165547.4192336,74,812
2026-09-11 19:25:47.750,1789165547.7508025,85,703
2026-09-11 19:25:48.408,1789165548.4088023,91,658
2026-09-11 19:25:49.399,1789165549.3995023,96,623
2026-09-11 19:25:50.389,1789165550.3893764,94,636
2026-09-11 19:25:50.649,1789165550.6498768,93,646
2026-09-11 19:25:51.378,1789165551.3788767,82,729
2026-09-11 19:25:52.414,1789165552.4140644,71,850
2026-09-11 19:25:52.534,1789165552.534907,69,871
2026-09-11 19:25:53.403,1789165553.403907,69,869
2026-09-11 19:25:54.393,1789165554.3939362,108,554
2026-09-11 19:25:54.710,1789165554.7106767,105,570
2026-09-11 19:25:55.386,1789165555.3866768,89,676
2026-09-11 19:25:55.789,1789165555.7889998,98,613
2026-09-11 19:25:56.418,1789165556.4189994,95,630
2026-09-11 19:25:57.455,1789165557.4554012,77,781
2026-09-11 19:25:57.573,1789165557.5733056,85,705
2026-09-11 19:25:58.399,1789165558.3993058,73,826
2026-09-11 19:25:59.389,1789165559.3893528,93,645
2026-09-11 19:26:00.379,1789165560.379208,93,646
2026-09-11 19:26:01.413,1789165561.4138606,97,618
2026-09-11 19:26:01.773,1789165561.7733366,96,627
2026-09-11 19:26:02.405,1789165562.4053366,95,632
2026-09-11 19:26:03.393,1789165563.3938243,88,684
2026-09-11 19:26:02.896,1789165562.8967512,80,751
2026-09-11 19:26:03.657,1789165563.6577513,79,761
2026-09-11 19:26:04.384,1789165564.384751,83,727
2026-09-11 19:26:04.590,1789165564.590213,169,354
2026-09-11 19:26:04.891,1789165564.8912134,199,301
2026-09-11 19:26:05.419,1789165565.4192133,114,528
2026-09-11 19:26:05.740,1789165565.7409177,128,467
2026-09-11 19:26:06.408,1789165566.4089177,90,668
2026-09-11 19:26:07.015,1789165567.015648,198,303
2026-09-11 19:26:07.401,1789165567.401648,155,386
2026-09-11 19:26:09.379,1789165569.3793643,115,521
2026-09-11 19:26:11.404,1789165571.4041548,92,650
2026-09-11 19:26:09.945,1789165569.945028,56,1064
2026-09-11 19:26:12.396,1789165572.396028,24,2451
2026-09-11 19:26:13.384,1789165573.384481,202,297
2026-09-11 19:26:14.419,1789165574.4192998,55,1099
2026-09-11 19:26:15.411,1789165575.4115613,92,651
2026-09-11 19:26:15.663,1789165575.6634655,83,724
2026-09-11 19:26:16.399,1789165576.3994656,82,736
2026-09-11 19:26:17.434,1789165577.4346986,82,729
2026-09-11 19:26:17.751,1789165577.751102,93,644
2026-09-11 19:26:18.379,1789165578.379102,96,628
2026-09-11 19:26:18.811,1789165578.8118832,99,606
2026-09-11 19:26:19.413,1789165579.4138832,100,602
2026-09-11 19:26:20.449,1789165580.4494598,97,617
2026-09-11 19:26:21.393,1789165581.3938892,92,655
2026-09-11 19:26:21.578,1789165581.578467,80,752
2026-09-11 19:26:22.384,1789165582.3844666,74,806
2026-09-11 19:26:23.374,1789165583.3741574,80,746
2026-09-11 19:26:23.785,1789165583.7853153,92,650
2026-09-11 19:26:24.409,1789165584.4093153,96,624
2026-09-11 19:26:24.836,1789165584.836182,100,603
2026-09-11 19:26:25.444,1789165585.444182,99,608
2026-09-11 19:26:26.434,1789165586.4343977,100,603
2026-09-11 19:26:26.075,1789165586.0752928,94,639
2026-09-11 19:26:26.792,1789165586.792293,84,717
2026-09-11 19:26:27.379,1789165587.379293,102,587
2026-09-11 19:26:28.414,1789165588.4141757,224,268
2026-09-11 19:26:29.407,1789165589.4071414,97,621
2026-09-11 19:26:29.767,1789165589.767445,93,646
2026-09-11 19:26:30.394,1789165590.394445,96,627
2026-09-11 19:26:30.774,1789165590.774256,99,607
2026-09-11 19:26:31.384,1789165591.384256,98,610
2026-09-11 19:26:32.374,1789165592.3749745,98,615
2026-09-11 19:26:33.408,1789165593.4087508,94,641
2026-09-11 19:26:32.936,1789165592.9366584,87,690
2026-09-11 19:26:33.671,1789165593.6716585,82,735
2026-09-11 19:26:34.399,1789165594.3996584,82,728
2026-09-11 19:26:35.389,1789165595.3899014,109,552
2026-09-11 19:26:36.381,1789165596.3818102,83,726
2026-09-11 19:26:36.805,1789165596.8053045,98,611
2026-09-11 19:26:37.414,1789165597.4143045,99,609
2026-09-11 19:26:38.407,1789165598.4072425,99,607
2026-09-11 19:26:37.986,1789165597.986284,95,629
2026-09-11 19:26:38.676,1789165598.676284,87,690
2026-09-11 19:26:39.394,1789165599.394284,84,718
2026-09-11 19:26:40.384,1789165600.3845904,115,521
2026-09-11 19:26:41.374,1789165601.3741372,70,857
2026-09-11 19:26:42.408,1789165602.4083595,91,659
2026-09-11 19:26:42.749,1789165602.7495356,93,648
2026-09-11 19:26:43.399,1789165603.3995354,92,650
2026-09-11 19:26:44.434,1789165604.4343512,93,642
2026-09-11 19:26:44.735,1789165604.7350314,95,633
2026-09-11 19:26:45.379,1789165605.3790312,93,644
2026-09-11 19:26:46.460,1789165606.4601963,90,665
2026-09-11 19:26:46.732,1789165606.7327025,89,674
2026-09-11 19:26:47.404,1789165607.4047024,89,672
2026-09-11 19:26:47.778,1789165607.7783062,93,646
2026-09-11 19:26:48.394,1789165608.3943064,97,616
2026-09-11 19:26:49.384,1789165609.3847191,100,601
2026-09-11 19:26:49.784,1789165609.7848935,101,593
2026-09-11 19:26:50.373,1789165610.3738933,102,589
2026-09-11 19:26:50.812,1789165610.812004,102,589
2026-09-11 19:26:51.409,1789165611.409004,101,597
2026-09-11 19:26:52.399,1789165612.3993423,97,617
2026-09-11 19:26:52.719,1789165612.719931,94,638
2026-09-11 19:26:53.389,1789165613.389931,90,670
2026-09-11 19:26:54.379,1789165614.3792288,88,680
2026-09-11 19:26:55.413,1789165615.4139895,86,694
2026-09-11 19:26:55.726,1789165615.7262392,86,694
2026-09-11 19:26:56.404,1789165616.4042392,88,678
2026-09-11 19:26:57.394,1789165617.3940992,89,676
2026-09-11 19:26:57.727,1789165617.7279494,89,672
2026-09-11 19:26:58.384,1789165618.3849494,91,657
2026-09-11 19:26:58.719,1789165618.7199593,92,651
2026-09-11 19:26:59.373,1789165619.373959,92,654
2026-09-11 19:27:00.408,1789165620.4089985,92,651
2026-09-11 19:27:00.726,1789165620.726599,92,650
2026-09-11 19:27:01.401,1789165621.4015987,89,675
2026-09-11 19:27:02.389,1789165622.3899724,89,673
2026-09-11 19:27:03.379,1789165623.379293,89,671
2026-09-11 19:27:03.712,1789165623.7120907,87,693
2026-09-11 19:27:04.414,1789165624.4140906,85,702
2026-09-11 19:27:05.406,1789165625.406993,86,700
