timestamp_local,timestamp_epoch_s,x_mg,y_mg,z_mg
2026-09-11 19:37:52.753,1789166272.753742,-969,38,11
2026-09-11 19:37:52.773,1789166272.773742,-971,30,27
2026-09-11 19:37:52.793,1789166272.793742,-983,26,36
2026-09-11 19:37:52.813,1789166272.813742,-996,22,31
2026-09-11 19:37:52.833,1789166272.833742,-997,27,2
2026-09-11 19:37:52.853,1789166272.853742,-967,30,12
2026-09-11 19:37:52.873,1789166272.8737419,-965,25,37
2026-09-11 19:37:52.893,1789166272.893742,-983,21,30
2026-09-11 19:37:52.913,1789166272.913742,-986,18,36
2026-09-11 19:37:52.933,1789166272.933742,-978,23,46
2026-09-11 19:37:52.953,1789166272.953742,-979,32,37
2026-09-11 19:37:52.973,1789166272.973742,-975,30,38
2026-09-11 19:37:52.993,1789166272.993742,-971,24,44
2026-09-11 19:37:53.013,1789166273.013742,-974,22,45
2026-09-11 19:37:53.033,1789166273.033742,-973,25,46
2026-09-11 19:37:53.053,1789166273.053742,-976,25,50
2026-09-11 19:37:53.073,1789166273.073742,-978,23,49
2026-09-11 19:37:53.093,1789166273.093742,-981,23,49
2026-09-11 19:37:53.113,1789166273.1137419,-981,24,49
2026-09-11 19:37:53.133,1789166273.133742,-975,26,52
2026-09-11 19:37:53.153,1789166273.153742,-974,25,62
2026-09-11 19:37:53.173,1789166273.173742,-981,26,58
2026-09-11 19:37:53.193,1789166273.193742,-988,28,29
2026-09-11 19:37:53.213,1789166273.213742,-961,22,49
2026-09-11 19:37:53.233,1789166273.233742,-960,23,74
2026-09-11 19:37:53.253,1789166273.253742,-978,27,39
2026-09-11 19:37:53.273,1789166273.273742,-973,25,31
2026-09-11 19:37:53.293,1789166273.293742,-972,21,50
2026-09-11 19:37:53.313,1789166273.313742,-973,26,61
2026-09-11 19:37:53.333,1789166273.333742,-981,26,62
2026-09-11 19:37:53.353,1789166273.353742,-981,22,50
2026-09-11 19:37:53.373,1789166273.3737419,-979,22,48
2026-09-11 19:37:53.393,1789166273.393742,-977,25,52
2026-09-11 19:37:53.413,1789166273.413742,-973,25,53
2026-09-11 19:37:53.433,1789166273.433742,-971,24,50
2026-09-11 19:37:53.453,1789166273.453742,-973,22,53
2026-09-11 19:37:53.461,1789166273.461424,-975,29,56
2026-09-11 19:37:53.481,1789166273.481424,-981,28,44
2026-09-11 19:37:53.501,1789166273.501424,-972,22,60
2026-09-11 19:37:53.521,1789166273.521424,-976,25,58
2026-09-11 19:37:53.541,1789166273.541424,-975,26,58
2026-09-11 19:37:53.561,1789166273.561424,-977,24,65
2026-09-11 19:37:53.581,1789166273.581424,-981,22,60
2026-09-11 19:37:53.601,1789166273.6014242,-975,24,52
2026-09-11 19:37:53.621,1789166273.6214242,-973,28,53
2026-09-11 19:37:53.641,1789166273.6414242,-972,25,57
2026-09-11 19:37:53.661,1789166273.6614242,-974,22,59
2026-09-11 19:37:53.681,1789166273.6814241,-973,23,54
2026-09-11 19:37:53.701,1789166273.7014241,-975,27,58
